PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
15.903000,0.030194,0.030708,0.252112,-1.726308,0.164401,-1.386298,0.000000,0.000000,0.200000
15.913000,0.030264,0.030717,0.252223,-1.683577,0.215858,-1.355095,0.000000,0.000000,0.200000
15.923000,0.030354,0.030829,0.252396,-1.684845,0.149182,-1.356256,0.000000,0.000000,0.200000
15.933000,0.030445,0.030959,0.252481,-1.687183,0.002285,-1.328927,0.000000,0.000000,0.200000
15.943000,0.030619,0.031074,0.252551,-1.730480,0.098076,-1.373875,0.000000,0.000000,0.200000
15.953000,0.030812,0.031211,0.252880,-1.662349,0.262033,-1.223336,0.000000,0.000000,0.200000
15.963000,0.031038,0.031251,0.253067,-1.689333,0.148047,-1.290480,0.000000,0.000000,0.200000
15.973000,0.031163,0.031394,0.253248,-1.644205,0.030976,-1.179789,0.000000,0.000000,0.200000
15.983000,0.031357,0.031419,0.253374,-1.588590,0.004806,-1.058042,0.000000,0.000000,0.200000
15.993000,0.031579,0.031444,0.253622,-1.611165,0.053049,-0.951094,0.000000,0.000000,0.200000
16.003000,0.031809,0.031544,0.253927,-1.554588,-0.053572,-0.911066,0.000000,0.000000,0.200000
16.013000,0.031976,0.031658,0.253994,-1.569583,-0.275762,-0.864837,0.000000,0.000000,0.200000
16.023000,0.032347,0.031764,0.253979,-1.568311,-0.171924,-0.792892,0.000000,0.000000,0.200000
16.033000,0.032638,0.031664,0.254180,-1.518287,-0.232798,-0.718136,0.000000,0.000000,0.200000
16.043000,0.032945,0.031893,0.254537,-1.477308,-0.313713,-0.786547,0.000000,0.000000,0.200000
16.053000,0.033190,0.031939,0.254544,-1.419027,-0.665896,-0.680826,0.000000,0.000000,0.200000
16.064000,0.033429,0.032067,0.254514,-1.423316,-0.233696,-0.502223,0.000000,0.000000,0.200000
16.073000,0.033838,0.032100,0.254751,-1.429209,-0.168077,-0.487564,0.000000,0.000000,0.200000
16.083000,0.034231,0.032087,0.255016,-1.423352,-0.514697,-0.626594,0.000000,0.000000,0.200000
16.093000,0.034340,0.032122,0.255268,-1.466523,-0.893185,-0.675650,0.000000,0.000000,0.200000
16.103000,0.034662,0.032362,0.255475,-1.487247,-0.970087,-0.727035,0.000000,0.000000,0.200000
16.114000,0.035074,0.032371,0.255461,-1.425449,-0.802489,-0.630957,0.000000,0.000000,0.200000
16.123000,0.035421,0.032281,0.255626,-1.468105,-1.130246,-0.655054,0.000000,0.000000,0.200000
16.133000,0.035594,0.032311,0.255531,-1.564211,-1.267106,-0.625502,0.000000,0.000000,0.200000
16.143000,0.035937,0.032421,0.255530,-1.604217,-1.112140,-0.663992,0.000000,0.000000,0.200000
16.153000,0.036311,0.032304,0.255432,-1.615997,-1.332258,-0.659325,0.000000,0.000000,0.200000
16.163000,0.036597,0.032304,0.255430,-1.590318,-1.249051,-0.589797,0.000000,0.000000,0.200000
16.174000,0.036802,0.032356,0.255324,-1.663606,-1.460761,-0.581548,0.000000,0.000000,0.200000
16.183000,0.037098,0.032293,0.255200,-1.723438,-1.611577,-0.501678,0.000000,0.000000,0.200000
16.193000,0.037513,0.032272,0.255087,-1.709555,-1.708766,-0.549129,0.000000,0.000000,0.200000
16.203000,0.037785,0.032126,0.254942,-1.834143,-1.560962,-0.750634,0.000000,0.000000,0.200000
16.213000,0.038079,0.032128,0.254875,-1.869262,-1.533941,-0.782225,0.000000,0.000000,0.200000
16.223000,0.038403,0.032043,0.254833,-1.907288,-1.556134,-0.698425,0.000000,0.000000,0.200000
16.233000,0.038808,0.031994,0.254908,-1.899657,-1.487804,-0.662659,0.000000,0.000000,0.200000
16.243000,0.039051,0.031969,0.254957,-1.942587,-1.361719,-0.613829,0.000000,0.000000,0.200000
16.253000,0.039321,0.031762,0.254806,-2.023122,-1.392495,-0.794974,0.000000,0.000000,0.200000
16.263000,0.039682,0.031708,0.254769,-1.994530,-1.417216,-0.748952,0.000000,0.000000,0.200000
16.273000,0.039909,0.031564,0.254748,-1.979617,-1.602371,-0.603960,0.000000,0.000000,0.200000
16.283000,0.040040,0.031370,0.254635,-2.096803,-1.529949,-0.612867,0.000000,0.000000,0.200000
16.294000,0.040249,0.031272,0.254535,-1.985866,-1.524098,-0.643027,0.000000,0.000000,0.200000
16.304000,0.040558,0.031079,0.254285,-2.091587,-1.563603,-0.813976,0.000000,0.000000,0.200000
16.313000,0.040781,0.031055,0.254200,-2.192851,-1.574084,-0.700858,0.000000,0.000000,0.200000
16.323000,0.040913,0.030970,0.253993,-2.052251,-1.434794,-0.835029,0.000000,0.000000,0.200000
16.333000,0.041042,0.030657,0.253854,-2.049612,-1.390199,-0.879232,0.000000,0.000000,0.200000
16.343000,0.041276,0.030707,0.253760,-1.981254,-1.325436,-1.099468,0.000000,0.000000,0.200000
16.353000,0.041524,0.030707,0.253501,-2.001434,-1.288848,-1.224224,0.000000,0.000000,0.200000
16.365000,0.041701,0.030509,0.253302,-2.056922,-1.175035,-1.156698,0.000000,0.000000,0.200000
16.373000,0.041813,0.030263,0.253128,-2.005841,-0.964200,-1.163995,0.000000,0.000000,0.200000
16.383000,0.041833,0.030184,0.253035,-2.058928,-1.286676,-1.196303,0.000000,0.000000,0.200000
16.393000,0.042031,0.030065,0.252927,-2.047211,-1.072103,-1.265895,0.000000,0.000000,0.200000
16.403000,0.042330,0.029701,0.252372,-2.077976,-0.853791,-1.033592,0.000000,0.000000,0.200000
16.413000,0.042283,0.029528,0.252497,-2.027153,-0.948873,-1.152674,0.000000,0.000000,0.200000
16.423000,0.042228,0.029329,0.252351,-2.013600,-1.191555,-1.201974,0.000000,0.000000,0.200000
16.433000,0.042350,0.029189,0.252294,-1.957661,-1.230836,-1.220961,0.000000,0.000000,0.200000
16.443000,0.042652,0.029071,0.252148,-2.125968,-1.162915,-1.247940,0.000000,0.000000,0.200000
16.453000,0.042727,0.028749,0.251801,-2.174439,-0.606994,-1.105695,0.000000,0.000000,0.200000
16.463000,0.042777,0.028663,0.251653,-2.200161,-0.517871,-1.221128,0.000000,0.000000,0.200000
16.474000,0.042958,0.028521,0.251769,-2.124021,-0.681292,-1.510307,0.000000,0.000000,0.200000
16.483000,0.043182,0.028285,0.251661,-2.203912,-0.661820,-1.939099,0.000000,0.000000,0.200000
16.494000,0.043519,0.027882,0.251576,-2.352802,-0.705655,-1.674910,0.000000,0.000000,0.200000
16.503000,0.043519,0.027908,0.251432,-2.450630,-0.499822,-1.498141,0.000000,0.000000,0.200000
16.513000,0.043324,0.027851,0.251499,-2.233637,-0.495107,-2.158731,0.000000,0.000000,0.200000
16.523000,0.043432,0.027741,0.251559,-2.346013,-0.928028,-2.116746,0.000000,0.000000,0.200000
16.533000,0.043749,0.027650,0.251415,-2.368409,-0.817868,-2.115836,0.000000,0.000000,0.200000
16.543000,0.043704,0.027489,0.251449,-2.425014,-1.040840,-2.249775,0.000000,0.000000,0.200000
16.553000,0.043698,0.027417,0.251483,-2.352680,-0.856581,-2.294715,0.000000,0.000000,0.200000
16.563000,0.043751,0.027346,0.251388,-2.338793,-0.858462,-2.244900,0.000000,0.000000,0.200000
16.573000,0.044088,0.027241,0.251601,-2.319717,-0.446935,-2.352592,0.000000,0.000000,0.200000
16.583000,0.044396,0.027197,0.251433,-2.349307,-0.625897,-2.132209,0.000000,0.000000,0.200000
16.593000,0.044464,0.027092,0.251421,-2.321605,-0.491553,-2.149030,0.000000,0.000000,0.200000
16.603000,0.044657,0.027117,0.251525,-2.365966,-0.410090,-2.211430,0.000000,0.000000,0.200000
16.613000,0.044963,0.027087,0.251420,-2.404565,-0.419950,-2.240249,0.000000,0.000000,0.200000
16.623000,0.045219,0.027109,0.251370,-2.395134,-0.234225,-2.112663,0.000000,0.000000,0.200000
16.633000,0.045173,0.027065,0.251354,-2.411965,-0.463080,-2.062803,0.000000,0.000000,0.200000
16.643000,0.045227,0.026992,0.251262,-2.449246,-0.437380,-2.108871,0.000000,0.000000,0.200000
16.653000,0.045486,0.027020,0.251226,-2.441312,-0.535745,-1.988405,0.000000,0.000000,0.200000
16.664000,0.045848,0.027003,0.251309,-2.333461,-0.249109,-2.184099,0.000000,0.000000,0.200000
16.673000,0.045962,0.026961,0.250868,-2.566327,-0.358838,-1.821622,0.000000,0.000000,0.200000
16.683000,0.046123,0.026981,0.250912,-2.597155,-0.598287,-1.847762,0.000000,0.000000,0.200000
16.693000,0.046487,0.027044,0.250792,-2.632542,-0.622353,-1.873330,0.000000,0.000000,0.200000
16.703000,0.046743,0.027138,0.250704,-2.656550,-0.810641,-1.792194,0.000000,0.000000,0.200000
16.713000,0.046970,0.027136,0.250550,-2.684395,-0.759473,-1.614610,0.000000,0.000000,0.200000
16.723000,0.047158,0.027310,0.250267,-2.577116,-0.737525,-1.611635,0.000000,0.000000,0.200000
16.733000,0.047510,0.027319,0.250464,-2.613988,-0.882883,-1.757792,0.000000,0.000000,0.200000
16.744000,0.047717,0.027401,0.250330,-2.646656,-0.914889,-1.703980,0.000000,0.000000,0.200000
16.753000,0.047908,0.027558,0.249970,-2.717855,-0.597437,-1.498043,0.000000,0.000000,0.200000
16.763000,0.048103,0.027550,0.249810,-2.713835,-0.516688,-1.301255,0.000000,0.000000,0.200000
16.773000,0.048261,0.027731,0.249899,-2.704916,-0.836170,-1.405790,0.000000,0.000000,0.200000
16.784000,0.048589,0.027860,0.249942,-2.766881,-0.842291,-1.291316,0.000000,0.000000,0.200000
16.794000,0.048975,0.028033,0.249405,-2.672359,-0.288506,-1.284577,0.000000,0.000000,0.200000
16.803000,0.049342,0.028111,0.249606,-2.593931,-0.758073,-0.973282,0.000000,0.000000,0.200000
16.813000,0.049622,0.028349,0.249621,-2.635800,-0.593555,-0.919613,0.000000,0.000000,0.200000
16.823000,0.050069,0.028332,0.249872,-2.651206,-0.775606,-1.169228,0.000000,0.000000,0.200000
16.833000,0.050266,0.028360,0.249815,-2.806979,-1.219318,-1.007741,0.000000,0.000000,0.200000
16.843000,0.050504,0.028460,0.249872,-2.806621,-1.074143,-1.004986,0.000000,0.000000,0.200000
16.853000,0.050682,0.028510,0.249878,-2.822552,-1.190606,-0.979182,0.000000,0.000000,0.200000
16.863000,0.050894,0.028544,0.250213,-2.762979,-1.541903,-0.787443,0.000000,0.000000,0.200000
16.873000,0.051145,0.028721,0.250208,-2.742750,-1.678417,-0.789041,0.000000,0.000000,0.200000
16.883000,0.051313,0.028796,0.250080,-2.775399,-1.685056,-0.845920,0.000000,0.000000,0.200000
16.893000,0.051495,0.028977,0.250128,-2.822094,-1.667791,-0.876334,0.000000,0.000000,0.200000
16.904000,0.051902,0.029001,0.250013,-2.797696,-1.897071,-0.895169,0.000000,0.000000,0.200000
16.913000,0.052204,0.029119,0.250119,-2.762243,-1.675276,-0.890507,0.000000,0.000000,0.200000
16.923000,0.052454,0.029217,0.250082,-2.840708,-1.562587,-0.660843,0.000000,0.000000,0.200000
16.934000,0.052657,0.029059,0.250029,-2.885375,-1.388891,-0.645442,0.000000,0.000000,0.200000
16.943000,0.052977,0.029123,0.249880,-2.785516,-1.577906,-0.577387,0.000000,0.000000,0.200000
16.953000,0.053249,0.029172,0.249820,-2.837902,-1.591231,-0.642684,0.000000,0.000000,0.200000
